asin,title,imgUrl,stars,price,listPrice,category_id
B07DD95XF9,Men's Gordie Relaxed Fit Straight Leg Jeans,https://m.media-amazon.com/images/I/8115fzlBBBL._AC_UL320_.jpg,0,39.06,98.0,110
B0BWMMFGP2,Mens Short Sleeve Pocket T-Shirts Casual Cotton V Neck Tee Tops,https://m.media-amazon.com/images/I/6192XGWhUfL._AC_UL320_.jpg,0,19.99,0.0,110
B0B9XL3MR3,Halloween Makeup Face Body Paint - Professional SFX Makeup Kit Special Effects Ghost Skeleton for Adult Full Coverage Cosplay Corpse Paint Fx Makeup (Black & White),https://m.media-amazon.com/images/I/71Brnw6BpVL._AC_UL320_.jpg,0,13.99,0.0,48
B08TRF9V66,"USB C Headphones SUMWE Hi-Fi Immersive Bass Sound Metal Earphones in-Ear Noise Cancelling Type C Earbuds w/Mic for Samsung Galaxy S21/S20/Note10, Google Pixel 5/4/3/2, iPad Pro",https://m.media-amazon.com/images/I/71hQ8Uum2KL._AC_UL320_.jpg,0,13.99,14.99,71
B075JXSLFH,Men's Ls Waffle Henley,https://m.media-amazon.com/images/I/91Pl7j45oOL._AC_UL320_.jpg,0,25.0,0.0,110
B0BZJZ4SHY,"ViewEra V151HV3 TFT-LCF 15"" Video Monitor, Black; 1024 x 768 Max Resolution; Built-in Speakers; Adjustable Stand; Wall Mountable; 7 ms Response Time; Anti-Glare Treatment",https://m.media-amazon.com/images/I/61LuG92EN3L._AC_UL320_.jpg,0,0.0,0.0,56
B0BR14HSPC,Womens Cutout Mini Casual Bodycon Sleeveless Short Dress,https://m.media-amazon.com/images/I/61da+vf3RyL._MCnd_AC_UL320_.jpg,0,36.99,0.0,116
B09WMZR247,"BULYPAZY Sleep Bluetooth Headband Headphones for Women, Cozy Band Wireless Headphones with HD Speakers and Knotted/Twist Design for Yoga, Workout, Running, Sports, Gift",https://m.media-amazon.com/images/I/71FxrTcbNeL._AC_UL320_.jpg,0,19.98,0.0,71
B0C2PTH3ZH,Funky Hawaiian Shirt for Men Palm Beach Shirts Tropical Vacation Shirts,https://m.media-amazon.com/images/I/71LISuEkLoL._AC_UL320_.jpg,0,19.99,0.0,110
B09XK7V9GQ,"TEMI Hover Soccer Ball for Boys & Girls, Rechargeable Air Floating Soccer Ball with LED Light and Foam Bumper, Soccer Gifts for Age 3 4 5 6 7 8-12 Year Old Kids Boys Girls",https://m.media-amazon.com/images/I/716pVotd0iL._AC_UL320_.jpg,0,15.99,19.99,270
